2025-07-16 16:17:54 [INFO]    [class Shapes.RectangleLogger.<init>] Have to create shape with width: 7.7 Height: 4.0
2025-07-16 16:17:55 [INFO]    [class Shapes.CircleLogger.<init>] Have to create shape with width: 2.5 Height: 2.5
2025-08-02 18:03:27 [INFO]    [class Shapes.RectangleUtils.Logger.<init>] Have to create shape with width: 7.7 Height: 4.0
2025-08-02 18:03:27 [INFO]    [class Shapes.CircleUtils.Logger.<init>] Have to create shape with width: 2.5 Height: 2.5
2025-08-02 18:18:33 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3001 and Name: bob example
2025-08-02 18:18:33 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:18:33 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:18:33 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3002 and Name: carol example
2025-08-02 18:18:33 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:18:33 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:18:33 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:18:33 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 4001 and Name: fail
2025-08-02 18:18:33 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:18:33 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:18:33 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 2001 and Name: fail
2025-08-02 18:18:33 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:18:33 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:20:58 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 5001 and Name: alice example
2025-08-02 18:20:58 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:20:58 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:20:58 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3001 and Name: bob example
2025-08-02 18:20:58 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:20:58 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:20:58 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3002 and Name: carol example
2025-08-02 18:20:58 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:20:58 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:20:58 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:20:58 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 4001 and Name: fail
2025-08-02 18:20:58 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:20:58 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:20:58 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 2001 and Name: fail
2025-08-02 18:20:58 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:20:58 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:21:37 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 5001 and Name: alice example
2025-08-02 18:21:37 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:21:37 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:21:37 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3001 and Name: bob example
2025-08-02 18:21:37 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:21:37 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:21:37 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3002 and Name: carol example
2025-08-02 18:21:37 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:21:37 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:21:37 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:21:37 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 4001 and Name: fail
2025-08-02 18:21:37 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:21:37 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:21:37 [ERROR]   [OfficeWorker.setId]             Error setting ID: OfficeWorker ID must start with 5
2025-08-02 18:21:37 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 2001 and Name: fail
2025-08-02 18:21:37 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:21:37 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:24:12 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 5001 and Name: alice example
2025-08-02 18:24:12 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:24:12 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:24:12 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3001 and Name: bob example
2025-08-02 18:24:12 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:24:12 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:24:12 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3002 and Name: carol example
2025-08-02 18:24:12 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:24:12 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:24:12 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:24:12 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 4001 and Name: fail
2025-08-02 18:24:12 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:24:12 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:24:12 [ERROR]   [OfficeWorker.setId]             Error setting ID: OfficeWorker ID must start with 5
2025-08-02 18:24:12 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 2001 and Name: fail
2025-08-02 18:24:12 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:24:12 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:25:15 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 5001 and Name: alice example
2025-08-02 18:25:15 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:25:15 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:25:15 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3001 and Name: bob example
2025-08-02 18:25:15 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:25:15 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:25:15 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3002 and Name: carol example
2025-08-02 18:25:15 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:25:15 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:25:15 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:25:15 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 4001 and Name: fail
2025-08-02 18:25:15 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:25:15 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:25:15 [ERROR]   [OfficeWorker.setId]             Error setting ID: OfficeWorker ID must start with 5
2025-08-02 18:25:15 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 2001 and Name: fail
2025-08-02 18:25:15 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:25:15 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:28:31 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 5001 and Name: alice example
2025-08-02 18:28:31 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:28:31 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:28:31 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3001 and Name: bob example
2025-08-02 18:28:31 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:28:31 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:28:31 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3002 and Name: carol example
2025-08-02 18:28:31 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:28:31 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:28:31 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:28:31 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 4001 and Name: fail
2025-08-02 18:28:31 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:28:31 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:28:31 [ERROR]   [OfficeWorker.setId]             Error setting ID: OfficeWorker ID must start with 5
2025-08-02 18:28:31 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 2001 and Name: fail
2025-08-02 18:28:31 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:28:31 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:28:31 [ERROR]   [ShiftWorker.setId]              Error setting ID: ShiftWorker ID must start with 3
2025-08-02 18:31:46 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: alice example
2025-08-02 18:31:46 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:31:46 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:31:46 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: bob example
2025-08-02 18:31:46 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:31:46 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:31:46 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: carol example
2025-08-02 18:31:46 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:31:46 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:33:26 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: alice example
2025-08-02 18:33:26 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:33:26 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:33:26 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: bob example
2025-08-02 18:33:26 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:33:26 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:33:26 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: carol example
2025-08-02 18:33:26 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:33:26 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:33:26 [ERROR]   [Driver.setId]                   Error setting ID: Driver ID must start with 2
2025-08-02 18:34:15 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: alice example
2025-08-02 18:34:15 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:34:15 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:34:15 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: bob example
2025-08-02 18:34:15 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:34:15 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:34:15 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: carol example
2025-08-02 18:34:15 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:34:15 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:34:15 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:34:15 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: fail
2025-08-02 18:34:15 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:34:15 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:34:15 [ERROR]   [OfficeWorker.setId]             Error setting ID: OfficeWorker ID must start with 5
2025-08-02 18:34:15 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: fail
2025-08-02 18:34:15 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:34:15 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:34:15 [ERROR]   [ShiftWorker.setId]              Error setting ID: ShiftWorker ID must start with 3
2025-08-02 18:34:24 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: alice example
2025-08-02 18:34:25 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:34:25 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:34:25 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: bob example
2025-08-02 18:34:25 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:34:25 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:34:25 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: carol example
2025-08-02 18:34:25 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:34:25 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:34:25 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:34:25 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: fail
2025-08-02 18:34:25 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:34:25 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:34:25 [ERROR]   [OfficeWorker.setId]             Error setting ID: OfficeWorker ID must start with 5
2025-08-02 18:34:25 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: fail
2025-08-02 18:34:25 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:34:25 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:34:25 [ERROR]   [ShiftWorker.setId]              Error setting ID: ShiftWorker ID must start with 3
2025-08-02 18:34:38 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: alice example
2025-08-02 18:34:38 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:34:38 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:34:38 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: bob example
2025-08-02 18:34:38 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:34:38 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:34:38 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: eve example
2025-08-02 18:34:38 [DEBUG]   [Employee.setName]               Trying to Set name: eve example
2025-08-02 18:34:38 [DEBUG]   [Employee.setName]               Capitalized name: Eve Example 
2025-08-02 18:34:38 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: carol example
2025-08-02 18:34:38 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:34:38 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:34:38 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: C
2025-08-02 18:34:38 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: frank example
2025-08-02 18:34:38 [DEBUG]   [Employee.setName]               Trying to Set name: frank example
2025-08-02 18:34:38 [DEBUG]   [Employee.setName]               Capitalized name: Frank Example 
2025-08-02 18:35:31 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: alice example
2025-08-02 18:35:31 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:35:31 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:35:31 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: bob example
2025-08-02 18:35:31 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:35:31 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:35:31 [DEBUG]   [Employee.<init>]                Initializing Employee with Name: eve example
2025-08-02 18:35:31 [DEBUG]   [Employee.setName]               Trying to Set name: eve example
2025-08-02 18:35:31 [DEBUG]   [Employee.setName]               Capitalized name: Eve Example 
